corpus,project,symbol,kind,predicted_color,predicted_reason,actual_status,root_blocker
endtoend,float.c,c_main,function,green,admissible,ported,
endtoend,float.c,mix,function,green,admissible,ported,
endtoend,float.c,printf,function,green,admissible,declared,
endtoend,fn-pointers.c,Calc,record,green,admissible,ported,
endtoend,fn-pointers.c,Op,enum,green,admissible,ported,
endtoend,fn-pointers.c,add,function,green,admissible,ported,
endtoend,fn-pointers.c,apply,function,green,admissible,ported,
endtoend,fn-pointers.c,c_main,function,green,admissible,ported,
endtoend,fn-pointers.c,f1,function,green,admissible,ported,
endtoend,fn-pointers.c,f2,function,green,admissible,ported,
endtoend,fn-pointers.c,mul,function,green,admissible,ported,
endtoend,fn-pointers.c,printf,function,green,admissible,declared,
endtoend,fn-pointers.c,select_op,function,green,admissible,ported,
endtoend,fn-pointers.c,sub,function,green,admissible,ported,
endtoend,fn-pointers.c,zero,function,green,admissible,ported,
endtoend,fnptr-devirt.c,c_main,function,green,admissible,ported,
endtoend,fnptr-devirt.c,fprintfptr,global,green,admissible,missing,
endtoend,fnptr-devirt.c,scale,function,green,admissible,ported,
endtoend,fnptr-devirt.c,scaleptr,global,green,admissible,missing,
endtoend,fnptr-noproto-infer.c,addc,function,green,admissible,ported,
endtoend,fnptr-noproto-infer.c,c_main,function,green,admissible,ported,
endtoend,fnptr-noproto-infer.c,halve,function,green,admissible,ported,
endtoend,fnptr-noproto-infer.c,negate,function,green,admissible,ported,
endtoend,fnptr-noproto-infer.c,printf,function,green,admissible,declared,
endtoend,fnptr-noproto-infer.c,trampoline,function,green,admissible,ported,
endtoend,fnptr-noproto-infer.c,twice,function,green,admissible,ported,
endtoend,fnptr-void-local.c,c_main,function,green,admissible,ported,
endtoend,fnptr-void-local.c,seed,global,green,admissible,ported,
endtoend,fnptr-void-local.c,times7,function,green,admissible,ported,
endtoend,func-name.c,announce,function,green,admissible,ported,
endtoend,func-name.c,c_main,function,green,admissible,ported,
endtoend,func-name.c,name_length,function,green,admissible,ported,
endtoend,func-name.c,printf,function,green,admissible,declared,
endtoend,func-name.c,puts,function,green,admissible,declared,
endtoend,func-name.c,strlen,function,green,admissible,declared,
endtoend,func-name.c,walked_length,function,green,admissible,ported,
endtoend,globals-string.c,Ops,record,green,admissible,ported,
endtoend,globals-string.c,c_main,function,green,admissible,ported,
endtoend,globals-string.c,ops,global,green,admissible,ported,
endtoend,globals-string.c,printf,function,green,admissible,declared,
endtoend,globals-string.c,s,global,green,admissible,ported,
endtoend,globals-string.c,seven,function,green,admissible,ported,
endtoend,globals-string.c,t,global,green,admissible,ported,
endtoend,globals-string.c,walk,function,green,admissible,ported,
endtoend,globals-writeback-order.c,S,record,green,admissible,ported,
endtoend,globals-writeback-order.c,T,record,green,admissible,ported,
endtoend,globals-writeback-order.c,c_main,function,green,admissible,ported,
endtoend,globals-writeback-order.c,g2,global,green,admissible,ported,
endtoend,globals-writeback-order.c,garr,global,green,admissible,ported,
endtoend,globals-writeback-order.c,gbuf,global,green,admissible,ported,
endtoend,globals-writeback-order.c,gs,global,green,admissible,ported,
endtoend,globals-writeback-order.c,printf,function,green,admissible,declared,
endtoend,globals-writeback-order.c,tu0_bump,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_get,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_idx_set2,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_idx_set3,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_poke,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_poke_y,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_touch_b,function,green,admissible,ported,
endtoend,globals-writeback-order.c,tu0_touch_b2,function,green,admissible,ported,
endtoend,globals.c,accumulate,function,green,admissible,ported,
endtoend,globals.c,bump,function,green,admissible,ported,
endtoend,globals.c,c,global,green,admissible,ported,
endtoend,globals.c,c_main,function,green,admissible,ported,
endtoend,globals.c,counter,global,green,admissible,ported,
endtoend,globals.c,fill_table,function,green,admissible,ported,
endtoend,globals.c,limit,global,green,admissible,ported,
endtoend,globals.c,printf,function,green,admissible,declared,
endtoend,globals.c,ratio,global,green,admissible,ported,
