corpus,project,items,green,yellow,red,ported,stubbed,dropped,missing,declared,false_green,false_red
c-testsuite,00040.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00041.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00042.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00043.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00044.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00045.c,4,4,0,0,3,0,0,1,0,0,0
c-testsuite,00046.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00047.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00048.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00049.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00050.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00051.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00052.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00053.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00054.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00055.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00056.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00057.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00058.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00059.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00060.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00061.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00062.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00063.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00064.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00065.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00066.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00067.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00068.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00069.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00070.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00071.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00072.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00073.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00074.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00075.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00076.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00077.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00078.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00079.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00080.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00081.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00082.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00083.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00084.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00085.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00086.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00087.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00088.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00089.c,6,6,0,0,6,0,0,0,0,0,0
c-testsuite,00090.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00091.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00092.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00093.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00094.c,2,2,0,0,1,0,0,0,1,0,0
c-testsuite,00095.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00096.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00097.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00098.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00099.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00100.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00101.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00102.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00103.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00104.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00105.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00106.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00107.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00108.c,2,2,0,0,1,0,0,0,1,0,0
c-testsuite,00109.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00110.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00111.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00112.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00113.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00114.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00115.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00116.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00117.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00118.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00119.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00120.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00121.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00122.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00123.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00124.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00125.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00126.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00127.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00128.c,12,12,0,0,12,0,0,0,0,0,0
c-testsuite,00129.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00130.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00131.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00132.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00133.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00134.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00135.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00136.c,9,9,0,0,9,0,0,0,0,0,0
c-testsuite,00137.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00138.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00139.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00140.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00141.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00142.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00143.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00144.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00145.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00146.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00147.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00148.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00149.c,3,3,0,0,2,0,0,1,0,0,0
c-testsuite,00150.c,5,5,0,0,4,0,0,1,0,0,0
c-testsuite,00151.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00152.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00153.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00154.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00155.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00156.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00157.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00158.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00159.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00160.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00161.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00162.c,7,7,0,0,2,0,0,0,5,0,0
c-testsuite,00163.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00164.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00165.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00166.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00167.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00168.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00169.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00170.c,9,9,0,0,9,0,0,0,0,0,0
c-testsuite,00171.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00172.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00173.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00174.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00175.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00176.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00177.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00178.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00179.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00180.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00181.c,7,7,0,0,7,0,0,0,0,0,0
c-testsuite,00182.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00183.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00184.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00185.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00186.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00187.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00188.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00189.c,4,4,0,0,2,0,0,2,0,0,0
c-testsuite,00190.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00191.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00192.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00193.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00194.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00195.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00196.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00197.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00198.c,2,2,0,0,2,0,0,0,0,0,0
c-testsuite,00199.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00200.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00201.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00202.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00203.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00204.c,137,137,0,0,136,0,0,1,0,0,0
c-testsuite,00205.c,3,3,0,0,3,0,0,0,0,0,0
c-testsuite,00206.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00207.c,4,4,0,0,4,0,0,0,0,0,0
c-testsuite,00208.c,5,5,0,0,5,0,0,0,0,0,0
c-testsuite,00209.c,13,13,0,0,6,0,0,6,1,0,0
c-testsuite,00210.c,6,6,0,0,5,0,0,0,1,0,0
c-testsuite,00211.c,3,3,0,0,2,0,0,0,1,0,0
c-testsuite,00212.c,1,1,0,0,1,0,0,0,0,0,0
c-testsuite,00213.c,7,7,0,0,6,0,0,0,1,0,0
c-testsuite,00214.c,8,8,0,0,7,0,0,0,1,0,0
c-testsuite,00215.c,8,8,0,0,7,0,0,0,1,0,0
c-testsuite,00216.c,53,53,0,0,39,0,0,14,0,0,0
c-testsuite,00217.c,3,3,0,0,2,0,0,0,1,0,0
c-testsuite,00218.c,9,9,0,0,8,0,0,0,1,0,0
c-testsuite,00219.c,6,6,0,0,6,0,0,0,0,0,0
c-testsuite,00220.c,1,1,0,0,1,0,0,0,0,0,0
