corpus,project,mode,probes,wall_ms,graph_items,ported,builds
c-testsuite,00061.c,on,1,34.0,1,1,1
c-testsuite,00062.c,off,0,33.4,2,2,1
c-testsuite,00062.c,on,1,32.3,2,2,1
c-testsuite,00063.c,off,0,31.7,2,2,1
c-testsuite,00063.c,on,1,39.6,2,2,1
c-testsuite,00064.c,off,0,35.0,1,1,1
c-testsuite,00064.c,on,1,38.1,1,1,1
c-testsuite,00065.c,off,0,33.8,1,1,1
c-testsuite,00065.c,on,1,36.2,1,1,1
c-testsuite,00066.c,off,0,32.5,1,1,1
c-testsuite,00066.c,on,1,34.1,1,1,1
c-testsuite,00067.c,off,0,29.3,2,2,1
c-testsuite,00067.c,on,1,32.2,2,2,1
c-testsuite,00068.c,off,0,35.5,2,2,1
c-testsuite,00068.c,on,1,35.6,2,2,1
c-testsuite,00069.c,off,0,32.0,2,2,1
c-testsuite,00069.c,on,1,35.3,2,2,1
c-testsuite,00070.c,off,0,28.6,2,2,1
c-testsuite,00070.c,on,1,39.3,2,2,1
c-testsuite,00071.c,off,0,33.6,1,1,1
c-testsuite,00071.c,on,1,35.0,1,1,1
c-testsuite,00072.c,off,0,31.7,1,1,1
c-testsuite,00072.c,on,1,34.6,1,1,1
c-testsuite,00073.c,off,0,31.6,1,1,1
c-testsuite,00073.c,on,1,34.7,1,1,1
c-testsuite,00074.c,off,0,32.5,2,2,1
c-testsuite,00074.c,on,1,33.2,2,2,1
c-testsuite,00075.c,off,0,29.3,1,1,1
c-testsuite,00075.c,on,1,34.8,1,1,1
c-testsuite,00076.c,off,0,31.4,1,1,1
c-testsuite,00076.c,on,1,37.2,1,1,1
c-testsuite,00077.c,off,0,32.7,2,2,1
c-testsuite,00077.c,on,1,40.1,2,2,1
c-testsuite,00078.c,off,0,33.1,2,2,1
c-testsuite,00078.c,on,1,36.5,2,2,1
c-testsuite,00079.c,off,0,33.7,1,1,1
c-testsuite,00079.c,on,1,34.9,1,1,1
c-testsuite,00080.c,off,0,35.5,2,2,1
c-testsuite,00080.c,on,1,33.9,2,2,1
c-testsuite,00081.c,off,0,32.9,1,1,1
c-testsuite,00081.c,on,1,34.8,1,1,1
c-testsuite,00082.c,off,0,33.2,1,1,1
c-testsuite,00082.c,on,1,37.2,1,1,1
c-testsuite,00083.c,off,0,37.5,4,4,1
c-testsuite,00083.c,on,1,39.4,4,4,1
c-testsuite,00084.c,off,0,33.2,5,5,1
c-testsuite,00084.c,on,1,38.0,5,5,1
c-testsuite,00085.c,off,0,31.3,1,1,1
c-testsuite,00085.c,on,1,39.1,1,1,1
c-testsuite,00086.c,off,0,38.9,1,1,1
c-testsuite,00086.c,on,1,32.8,1,1,1
c-testsuite,00087.c,off,0,35.7,3,3,1
c-testsuite,00087.c,on,1,39.9,3,3,1
c-testsuite,00088.c,off,0,33.7,2,2,1
c-testsuite,00088.c,on,1,38.3,2,2,1
c-testsuite,00089.c,off,0,37.4,6,6,1
c-testsuite,00089.c,on,1,41.8,6,6,1
c-testsuite,00090.c,off,0,34.2,2,2,1
c-testsuite,00090.c,on,1,39.0,2,2,1
c-testsuite,00091.c,off,0,33.5,3,3,1
c-testsuite,00091.c,on,1,30.9,3,3,1
c-testsuite,00092.c,off,0,36.3,2,2,1
c-testsuite,00092.c,on,1,37.1,2,2,1
c-testsuite,00093.c,off,0,31.1,2,2,1
c-testsuite,00093.c,on,1,40.2,2,2,1
c-testsuite,00094.c,off,0,31.5,1,1,1
c-testsuite,00094.c,on,1,34.4,1,1,1
c-testsuite,00095.c,off,0,29.7,3,3,1
c-testsuite,00095.c,on,1,38.3,3,3,1
c-testsuite,00096.c,off,0,33.5,2,2,1
c-testsuite,00096.c,on,1,34.7,2,2,1
c-testsuite,00097.c,off,0,32.7,1,1,1
c-testsuite,00097.c,on,1,34.5,1,1,1
c-testsuite,00098.c,off,0,32.0,1,1,1
c-testsuite,00098.c,on,1,38.2,1,1,1
c-testsuite,00099.c,off,0,33.9,3,3,1
c-testsuite,00099.c,on,1,37.9,3,3,1
c-testsuite,00100.c,off,0,31.4,2,2,1
c-testsuite,00100.c,on,1,36.8,2,2,1
c-testsuite,00101.c,off,0,34.7,1,1,1
c-testsuite,00101.c,on,1,35.6,1,1,1
c-testsuite,00102.c,off,0,34.2,1,1,1
c-testsuite,00102.c,on,1,35.6,1,1,1
c-testsuite,00103.c,off,0,39.0,1,1,1
c-testsuite,00103.c,on,1,38.8,1,1,1
c-testsuite,00104.c,off,0,40.8,1,1,1
c-testsuite,00104.c,on,1,43.9,1,1,1
c-testsuite,00105.c,off,0,34.4,1,1,1
c-testsuite,00105.c,on,1,31.0,1,1,1
c-testsuite,00106.c,off,0,30.7,3,3,1
c-testsuite,00106.c,on,1,33.6,3,3,1
c-testsuite,00107.c,off,0,30.5,2,2,1
c-testsuite,00107.c,on,1,37.1,2,2,1
c-testsuite,00108.c,off,0,31.7,1,1,1
c-testsuite,00108.c,on,1,36.0,1,1,1
c-testsuite,00109.c,off,0,31.0,1,1,1
c-testsuite,00109.c,on,1,35.7,1,1,1
c-testsuite,00110.c,off,0,28.3,2,2,1
c-testsuite,00110.c,on,1,34.2,2,2,1
c-testsuite,00111.c,off,0,29.8,1,1,1
c-testsuite,00111.c,on,1,37.5,1,1,1
c-testsuite,00112.c,off,0,28.1,1,1,1
c-testsuite,00112.c,on,1,34.4,1,1,1
c-testsuite,00113.c,off,0,36.1,1,1,1
c-testsuite,00113.c,on,1,29.6,1,1,1
c-testsuite,00114.c,off,0,32.4,1,1,1
c-testsuite,00114.c,on,1,35.1,1,1,1
c-testsuite,00115.c,off,0,31.7,2,2,1
c-testsuite,00115.c,on,1,40.9,2,2,1
c-testsuite,00116.c,off,0,30.4,2,2,1
c-testsuite,00116.c,on,1,36.6,2,2,1
c-testsuite,00117.c,off,0,34.4,1,1,1
c-testsuite,00117.c,on,1,36.9,1,1,1
c-testsuite,00118.c,off,0,32.6,1,1,1
c-testsuite,00118.c,on,1,34.7,1,1,1
c-testsuite,00119.c,off,0,32.5,2,2,1
c-testsuite,00119.c,on,1,35.1,2,2,1
c-testsuite,00120.c,off,0,31.3,2,2,1
c-testsuite,00120.c,on,1,31.5,2,2,1
c-testsuite,00121.c,off,0,36.9,4,4,1
c-testsuite,00121.c,on,1,36.9,4,4,1
c-testsuite,00122.c,off,0,32.3,1,1,1
c-testsuite,00122.c,on,1,31.1,1,1,1
c-testsuite,00123.c,off,0,34.1,2,2,1
c-testsuite,00123.c,on,1,36.0,2,2,1
c-testsuite,00124.c,off,0,31.2,3,3,1
c-testsuite,00124.c,on,1,38.4,3,3,1
c-testsuite,00125.c,off,0,44.2,1,1,1
c-testsuite,00125.c,on,1,43.9,1,1,1
c-testsuite,00126.c,off,0,33.3,1,1,1
c-testsuite,00126.c,on,1,40.8,1,1,1
c-testsuite,00127.c,off,0,31.4,2,2,1
c-testsuite,00127.c,on,1,35.3,2,2,1
c-testsuite,00128.c,off,0,36.6,12,12,1
c-testsuite,00128.c,on,1,43.3,12,12,1
c-testsuite,00129.c,off,0,31.9,3,3,1
c-testsuite,00129.c,on,1,30.9,3,3,1
c-testsuite,00130.c,off,0,31.1,1,1,1
c-testsuite,00130.c,on,1,42.6,1,1,1
c-testsuite,00131.c,off,0,34.5,1,1,1
c-testsuite,00131.c,on,1,47.2,1,1,1
