corpus,project,tus,strict_ok,strict_builds,incr_emitted,incr_builds,graph_items,ported,stubbed,dropped,missing,declared,ported_permille
c-testsuite,00031.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00032.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00033.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00034.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00035.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00036.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00037.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00038.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00039.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00040.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00041.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00042.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00043.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00044.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00045.c,1,1,1,1,1,4,3,0,0,1,0,750
c-testsuite,00046.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00047.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00048.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00049.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00050.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00051.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00052.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00053.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00054.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00055.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00056.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00057.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00058.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00059.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00060.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00061.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00062.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00063.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00064.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00065.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00066.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00067.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00068.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00069.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00070.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00071.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00072.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00073.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00074.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00075.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00076.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00077.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00078.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00079.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00080.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00081.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00082.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00083.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00084.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00085.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00086.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00087.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00088.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00089.c,1,1,1,1,1,6,6,0,0,0,0,1000
c-testsuite,00090.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00091.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00092.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00093.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00094.c,1,1,1,1,1,1,1,0,0,0,1,1000
c-testsuite,00095.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00096.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00097.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00098.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00099.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00100.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00101.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00102.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00103.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00104.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00105.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00106.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00107.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00108.c,1,1,1,1,1,1,1,0,0,0,1,1000
c-testsuite,00109.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00110.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00111.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00112.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00113.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00114.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00115.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00116.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00117.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00118.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00119.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00120.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00121.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00122.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00123.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00124.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00125.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00126.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00127.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00128.c,1,1,1,1,1,12,12,0,0,0,0,1000
c-testsuite,00129.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00130.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00131.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00132.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00133.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00134.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00135.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00136.c,1,1,1,1,1,9,9,0,0,0,0,1000
c-testsuite,00137.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00138.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00139.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00140.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00141.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00142.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00143.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00144.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00145.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00146.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00147.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00148.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00149.c,1,1,1,1,1,3,2,0,0,1,0,666
c-testsuite,00150.c,1,1,1,1,1,5,4,0,0,1,0,800
c-testsuite,00151.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00152.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00153.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00154.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00155.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00156.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00157.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00158.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00159.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00160.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00161.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00162.c,1,1,1,1,1,2,2,0,0,0,5,1000
c-testsuite,00163.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00164.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00165.c,1,1,1,1,1,1,1,0,0,0,0,1000
